Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
Hgfac,Plxnb2,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,Plxnd1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,Pxdn,0.5065607304015044,0.0379820225393794,0.5065607304015044
Hgfac,S100A1,-0.5065607304015044,0.0379820225393794,0.5065607304015044
Hgfac,S100A12,-0.6377603634987047,0.005880667598464436,0.6377603634987047
Hgfac,S100A7,-0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,S100P,-1.0,0.0,1.0
Hgfac,S100a1,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,S100a11,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,S100a13,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,SCYL1,1.0,0.0,1.0
Hgfac,SERPINA10,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,SERPINA7,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,SERPINB12,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,SERPINB3,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hgfac,SERPINB8,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,SERPINE1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,SMAP,1.0,0.0,1.0
Hgfac,SPARCL1,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,Sema3b,0.6377603634987047,0.005880667598464436,0.6377603634987047
Hgfac,Sema4b,0.5370613587357513,0.026213040165845948,0.5370613587357513
Hgfac,Sema7a,0.5370613587357513,0.026213040165845948,0.5370613587357513
Hgfac,Serpina10,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hgfac,Serpina1c,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,Serpina6,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hgfac,Sfrp1,1.0,0.0,1.0
Hgfac,Spon1,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hgfac,Sulf2,-1.0,0.0,1.0
Hgfac,THSD4,0.5065607304015044,0.0379820225393794,0.5065607304015044
Hgfac,Thbs1,-0.6377603634987047,0.005880667598464436,0.6377603634987047
Hgfac,Vcan,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hmcn1,Hmcn2,0.5065607304015044,0.0379820225393794,0.5065607304015044
Hmcn1,Hrg,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hmcn1,Il16,0.5370613587357513,0.026213040165845948,0.5370613587357513
Hmcn1,Itih2,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hmcn1,Kcp,1.0,0.0,1.0
Hmcn1,Lama3,0.6137844099837158,0.00877233937647742,0.6137844099837158
Hmcn1,Lgals8,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hmcn1,Loxl1,-1.0,0.0,1.0
Hmcn1,Loxl2,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hmcn1,Ltbp2,1.0,0.0,1.0
Hmcn1,Ltbp4,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hmcn1,Matn2,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hmcn1,Mbl1,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hmcn1,Megf6,1.0,0.0,1.0
Hmcn1,Mfap4,0.6377603634987047,0.005880667598464436,0.6377603634987047
Hmcn1,Mmrn1,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hmcn1,Npnt,-1.0,0.0,1.0
Hmcn1,Ntn1,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hmcn1,Pcolce2,-1.0,0.0,1.0
Hmcn1,Rif1,1.0,0.0,1.0
Hmcn1,S100a10,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hmcn1,Sema3b,0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hmcn1,Serpina1a,-0.5065607304015044,0.0379820225393794,0.5065607304015044
Hmcn1,Serpina3k,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hmcn1,Smoc2,0.5485298130021853,0.022606111780429924,0.5485298130021853
